session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First language,First Language,Nationality,Sex,Student Status
5fc0c37181b13918826e5db9,5ee379c2c1832e050bac5c14,APPROVED,2020-11-27 09:14:58.040000,2020-11-27 09:17:45.307000,167.267,36,492,2,100,2020-12-15 13:44:21.719000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
5fc0c38309bc41094d82c32e,5f07070d75038e05e9fcf515,APPROVED,2020-11-27 09:14:43.272000,2020-11-27 09:23:29.415000,526.143,22,663,1,100,2020-12-15 13:44:25.509000,5E5B3080,United States,United States,Full-Time,English,English,United States,Male,Yes
5fc0c43036f23c59787c90ac,58921be25c15e0000158405c,RETURNED,2020-11-27 09:17:41.873000,,13061931.610715,29,592,13,96,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fc0c48564fab608fc55b4d8,5e2bf2153a9311222d4892c6,APPROVED,2020-11-27 09:19:01.634000,2020-11-27 09:45:14.362000,1572.728,20,843,9,98,2020-12-15 13:44:29.337000,5E5B3080,United States,United States,Unemployed (and job seeking),English,English,United States,Male,Yes
5fc0c5b2719c505a216d9725,5f53927e3a8bb66b0f07d471,APPROVED,2020-11-27 09:24:02.151000,2020-11-27 09:41:21.200000,1039.049,34,307,2,100,2020-12-15 14:37:39.512000,5E5B3080,United States,United States,Full-Time,English,DATA EXPIRED,United States,Female,Yes
5fc0c5bcff433608c7c1c2bc,5e2f5d67028f41527321f838,APPROVED,2020-11-27 09:24:12.741000,2020-11-27 09:45:37.325000,1284.584,30,408,1,100,2020-12-15 14:14:10.208000,NOCODE,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5fc0c5bd1c27c859b1c3034c,5f3c356f4cc7301d86e53d3f,APPROVED,2020-11-27 09:24:16.248000,2020-11-27 09:29:46.986000,330.738,25,218,1,100,2020-12-15 13:44:33.988000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,DATA EXPIRED,United Kingdom,Female,No
5fc0c5bf56cdbc08dbeeb2f8,564d1b57b48dec0005b518f0,APPROVED,2020-11-27 09:24:15.581000,2020-11-27 09:27:17.533000,181.952,32,1119,2,100,2020-12-15 13:44:37.681000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
5fc0c5bfcc12be5abc168691,5eceb8411480c30fb89c7c54,APPROVED,2020-11-27 09:24:15.250000,2020-11-27 09:30:19.406000,364.156,25,288,6,97,2020-12-15 13:44:43.550000,5E5B3080,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,No
5fc0c5c3024f6208d823dbf5,5f53c32480ec78703ca2ae69,RETURNED,2020-11-27 09:24:19.079000,,13061534.449817,19,242,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
